r,k,l,attack_beats_colonize,colonize_beats_defend,defend_beats_attack,min_margin,cycle_holds
0.4000,2.7500,0.0000,1.000000,0.249800,-0.158341,-0.158341,0
0.4000,2.7500,0.0500,1.000000,0.249794,0.045131,0.045131,0
0.4000,2.7500,0.1000,0.737661,0.249788,-0.002531,-0.002531,0
0.4000,2.7500,0.1500,0.453737,0.249783,-0.136275,-0.136275,0
0.4000,2.7500,0.2000,0.068356,0.249779,0.032146,0.032146,0
0.4000,2.7500,0.2500,-0.276964,0.249774,0.175630,-0.276964,0
0.4000,2.7500,0.3000,-0.432181,0.249771,0.158768,-0.432181,0
0.4000,2.7500,0.3500,-0.394404,0.249767,0.023871,-0.394404,0
0.4000,2.7500,0.4000,-0.299005,0.249763,0.234247,-0.299005,0
0.4000,2.7500,0.4500,-0.342107,0.249761,0.119194,-0.342107,0
0.4000,3.0000,0.0000,1.000000,0.249795,-0.094053,-0.094053,0
0.4000,3.0000,0.0500,0.721856,0.249789,0.074331,0.074331,1
0.4000,3.0000,0.1000,0.258304,0.249785,0.209239,0.209239,1
0.4000,3.0000,0.1500,-0.035749,0.249780,-0.045522,-0.045522,0
0.4000,3.0000,0.2000,-0.244855,0.249776,-0.032599,-0.244855,0
0.4000,3.0000,0.2500,-0.390287,0.249772,0.153235,-0.390287,0
0.4000,3.0000,0.3000,-0.395814,0.249768,0.034724,-0.395814,0
0.4000,3.0000,0.3500,-0.345991,0.249765,0.053904,-0.345991,0
0.4000,3.0000,0.4000,-0.398005,0.249762,0.072302,-0.398005,0
0.4000,3.0000,0.4500,-0.342054,0.249759,0.130252,-0.342054,0
0.6000,1.0000,0.0000,1.000000,0.167239,-1.000000,-1.000000,0
0.6000,1.0000,0.0500,1.000000,0.167255,-1.000000,-1.000000,0
0.6000,1.0000,0.1000,1.000000,0.249905,-1.000000,-1.000000,0
0.6000,1.0000,0.1500,1.000000,0.249908,-0.875645,-0.875645,0
0.6000,1.0000,0.2000,1.000000,0.249908,-0.682199,-0.682199,0
0.6000,1.0000,0.2500,1.000000,0.249907,-0.857734,-0.857734,0
0.6000,1.0000,0.3000,1.000000,0.249905,-0.368854,-0.368854,0
0.6000,1.0000,0.3500,1.000000,0.249903,-0.326208,-0.326208,0
0.6000,1.0000,0.4000,1.000000,0.249902,0.010466,0.010466,0
0.6000,1.0000,0.4500,1.000000,0.249900,-0.002060,-0.002060,0
0.6000,1.2500,0.0000,1.000000,0.249906,-1.000000,-1.000000,0
0.6000,1.2500,0.0500,1.000000,0.249908,-1.000000,-1.000000,0
0.6000,1.2500,0.1000,1.000000,0.249908,-1.000000,-1.000000,0
0.6000,1.2500,0.1500,1.000000,0.249907,-1.000000,-1.000000,0
0.6000,1.2500,0.2000,1.000000,0.249906,-0.316645,-0.316645,0
0.6000,1.2500,0.2500,1.000000,0.249904,-0.139978,-0.139978,0
0.6000,1.2500,0.3000,1.000000,0.249903,0.102890,0.102890,1
0.6000,1.2500,0.3500,1.000000,0.249901,0.267252,0.249901,1
0.6000,1.2500,0.4000,1.000000,0.249900,0.134836,0.134836,1
0.6000,1.2500,0.4500,1.000000,0.249899,0.107369,0.107369,1
0.6000,1.5000,0.0000,1.000000,0.249908,-0.749554,-0.749554,0
0.6000,1.5000,0.0500,1.000000,0.249908,-0.670235,-0.670235,0
0.6000,1.5000,0.1000,1.000000,0.249907,-0.397974,-0.397974,0
0.6000,1.5000,0.1500,1.000000,0.249905,-0.661881,-0.661881,0
0.6000,1.5000,0.2000,1.000000,0.249904,0.046698,0.046698,0
0.6000,1.5000,0.2500,1.000000,0.249902,0.223853,0.223853,1
0.6000,1.5000,0.3000,1.000000,0.249901,0.257404,0.249901,1
0.6000,1.5000,0.3500,1.000000,0.249900,0.197980,0.197980,1
0.6000,1.5000,0.4000,1.000000,0.249899,0.150869,0.150869,1
0.6000,1.5000,0.4500,0.817711,0.249898,-0.005540,-0.005540,0
0.6000,1.7500,0.0000,1.000000,0.249907,-0.702425,-0.702425,0
0.6000,1.7500,0.0500,1.000000,0.249906,-0.119762,-0.119762,0
0.6000,1.7500,0.1000,1.000000,0.249905,-0.319382,-0.319382,0
0.6000,1.7500,0.1500,1.000000,0.249904,0.200980,0.200980,1
0.6000,1.7500,0.2000,1.000000,0.249903,0.185342,0.185342,1
0.6000,1.7500,0.2500,1.000000,0.249901,0.192337,0.192337,1
0.6000,1.7500,0.3000,1.000000,0.249900,0.265687,0.249900,1
0.6000,1.7500,0.3500,0.824515,0.249899,0.099012,0.099012,1
0.6000,1.7500,0.4000,0.436747,0.249898,0.169145,0.169145,1
0.6000,1.7500,0.4500,0.114574,0.249897,0.063117,0.063117,1
0.6000,2.0000,0.0000,1.000000,0.249906,-0.292222,-0.292222,0
0.6000,2.0000,0.0500,1.000000,0.249905,-0.046753,-0.046753,0
0.6000,2.0000,0.1000,1.000000,0.249904,0.159483,0.159483,1
0.6000,2.0000,0.1500,1.000000,0.249903,0.224445,0.224445,1
0.6000,2.0000,0.2000,1.000000,0.249901,0.265997,0.249901,1
0.6000,2.0000,0.2500,0.697871,0.249900,0.168202,0.168202,1
0.6000,2.0000,0.3000,0.659391,0.249899,0.151933,0.151933,1
0.6000,2.0000,0.3500,0.289521,0.249898,0.218715,0.218715,1
0.6000,2.0000,0.4000,0.031017,0.249897,0.202729,0.031017,0
0.6000,2.0000,0.4500,-0.091636,0.249896,0.135884,-0.091636,0
0.6000,2.2500,0.0000,1.000000,0.249905,0.011852,0.011852,0
0.6000,2.2500,0.0500,1.000000,0.249904,-0.206540,-0.206540,0
0.6000,2.2500,0.1000,1.000000,0.249903,0.239072,0.239072,1
0.6000,2.2500,0.1500,1.000000,0.249902,0.254406,0.249902,1
0.6000,2.2500,0.2000,0.585536,0.249901,0.097871,0.097871,1
0.6000,2.2500,0.2500,0.426311,0.249899,0.150407,0.150407,1
0.6000,2.2500,0.3000,0.095530,0.249899,0.117236,0.095530,1
0.6000,2.2500,0.3500,0.035409,0.249898,0.181747,0.035409,0
0.6000,2.2500,0.4000,-0.201233,0.249897,0.009010,-0.201233,0
0.6000,2.2500,0.4500,-0.373933,0.249896,0.009108,-0.373933,0
0.6000,2.5000,0.0000,1.000000,0.249904,0.148971,0.148971,1
0.6000,2.5000,0.0500,1.000000,0.249903,0.294421,0.249903,1
0.6000,2.5000,0.1000,0.849995,0.249902,0.193063,0.193063,1
0.6000,2.5000,0.1500,0.505744,0.249901,0.268292,0.249901,1
0.6000,2.5000,0.2000,0.331121,0.249900,0.235986,0.235986,1
0.6000,2.5000,0.2500,-0.051998,0.249899,0.137561,-0.051998,0
0.6000,2.5000,0.3000,0.084975,0.249898,0.127938,0.084975,1
0.6000,2.5000,0.3500,-0.225228,0.249897,0.111383,-0.225228,0
0.6000,2.5000,0.4000,-0.375766,0.249896,0.022382,-0.375766,0
0.6000,2.5000,0.4500,-0.362421,0.249896,-0.013170,-0.362421,0
0.6000,2.7500,0.0000,1.000000,0.249903,0.204101,0.204101,1
0.6000,2.7500,0.0500,0.767800,0.249902,0.224675,0.224675,1
0.6000,2.7500,0.1000,0.644473,0.249901,0.153379,0.153379,1
0.6000,2.7500,0.1500,0.103271,0.249900,0.158370,0.103271,1
0.6000,2.7500,0.2000,-0.037819,0.249899,0.311221,-0.037819,0
